Window,Return,Min weight,Max weight
window 0,-0.0347605,0.00163536,0.216231
window 1,0.0417936,0.0127485,0.23452
window 2,0.0403352,0.0105535,0.228735
window 3,0.0077853,0.00358564,0.231427
window 4,-0.0781959,0.00217013,0.246344
window 5,-0.0575923,0.000216429,0.267609
window 6,0.0456953,0.00572809,0.277663
window 7,-0.0520231,0.00162451,0.190415
window 8,0.127051,0.00300904,0.190061
window 9,0.0534302,0.00698228,0.149198
window 10,0.00908993,0.00436893,0.134325
window 11,0.0167138,0.000969655,0.162232
window 12,0.0268789,0.00272626,0.152238
window 13,0.0228111,0.00152447,0.161974
window 14,0.0142326,0.000841211,0.165416
window 15,0.056658,0.00185527,0.149676
window 16,0.00916037,0.00522026,0.215424
window 17,0.0217947,0.00911294,0.2005
window 18,-0.0166791,0.00491794,0.170433
window 19,-0.0474259,0.00844829,0.136884
window 20,-0.0572263,0.00629874,0.151429
window 21,0.131804,0.0018174,0.148851
window 22,-0.0148143,0.00910478,0.149366
window 23,-0.0434203,0.00230539,0.151167
window 24,0.076428,0.00393576,0.163818
window 25,0.056984,0.00791927,0.161822
window 26,0.0365882,0.000339033,0.164922
window 27,0.0233358,0.0053781,0.141533
window 28,-0.0500583,0.0033619,0.153434
window 29,0.0217101,0.00760575,0.176908
window 30,0.00129032,0.0092126,0.167578
window 31,0.00972556,0.00481483,0.192713
window 32,-0.0119236,0.00684728,0.158592
window 33,-0.0468097,0.00375282,0.170663
window 34,0.0289338,0.00871142,0.145752
window 35,0.0049442,0.00294827,0.146091
window 36,0.0571687,0.000494343,0.157555
window 37,0.0238765,0.00055501,0.142255
window 38,0.0429089,0.00305338,0.160801
window 39,0.0632465,0.00823858,0.158101
window 40,0.0263199,0.00462547,0.168016
window 41,-0.00666953,0.00507334,0.164798
window 42,0.0458795,0.00280728,0.180305
window 43,-0.0172645,0.00366429,0.176792
window 44,0.0458289,0.00333049,0.182626
window 45,0.0477105,0.00681945,0.183101
window 46,0.0573979,2.65E-05,0.182504
window 47,0.026061,0.0159921,0.174156
window 48,0.00719459,0.0170972,0.182074
window 49,0.0538529,0.00260922,0.182182
window 50,-0.0542062,0.00679715,0.181879
window 51,-0.0277023,0.0130468,0.17983
window 52,0.0475518,0.000502689,0.180635
window 53,0.0114461,0.00582945,0.198424
window 54,-0.0294126,0.011819,0.18898
window 55,0.120658,0.0112355,0.183445
window 56,-0.0138555,0.0121574,0.225007
window 57,0.0264001,0.00857174,0.232896
window 58,0.0404832,0.00591003,0.250294
window 59,0.0074494,0.00820589,0.291273
window 60,0.0751834,0.0149908,0.231135
window 61,0.0990748,0.000991056,0.252533
window 62,-0.00709026,0.0167266,0.257254
window 63,-0.00927217,0.0171243,0.255946
window 64,0.0144032,0.00669812,0.248704
window 65,0.0165139,0.00608103,0.248665
Average,0.017657293,0.00596464,0.188304697
