Window,Return,Omega,Min weight,Max weight
window 0,0.0518989,740.221,0.00300564,0.146654
window 1,0.0444565,744.957,0.00301207,0.146636
window 2,0.0511335,801.898,3.49032e-05,0.126813
window 3,0.0264865,801.388,3.49032e-05,0.126813
window 4,-0.0215319,803.467,3.49032e-05,0.126813
window 5,0.0550577,798.38,3.49032e-05,0.126813
window 6,0.0107402,803.559,3.49032e-05,0.126813
window 7,0.0216875,805.16,3.49032e-05,0.126813
window 8,0.0185807,803.774,3.49032e-05,0.126813
window 9,0.0219839,564.114,0.000558819,0.160532
window 10,-0.000130228,558.785,0.000587147,0.160498
window 11,0.016717,1130.22,5.25799e-05,0.282411
window 12,0.019094,1809.17,0.000369974,0.181881
window 13,-0.0795117,2175.5,0.00245361,0.174092
window 14,-0.108392,714.165,0.00156071,0.271914
window 15,0.130037,817.976,0.00836443,0.147496
window 16,0.0835427,826.934,0.00836443,0.147496
window 17,0.0178179,831.354,0.00836443,0.147496
window 18,0.0785786,833.903,0.00836443,0.147496
window 19,0.0310197,839.616,0.00836443,0.147496
window 20,-0.00716208,840.941,0.00836443,0.147496
window 21,-0.0244702,838.895,0.00836443,0.147496
window 22,0.0699508,836.864,0.00836443,0.147496
window 23,0.0154904,840.946,0.00836443,0.147496
window 24,-0.0261666,841.748,0.0083646,0.147496
window 25,-0.0399597,840,0.0083646,0.147496
window 26,0.0579658,848.454,0.00514044,0.169589
window 27,0.0283895,846.136,0.00514044,0.169589
window 28,-0.00973707,847.409,0.00514044,0.169589
window 29,0.025821,845.76,0.00514044,0.169589
window 30,0.0371002,847.665,0.00514044,0.169589
window 31,-0.000439856,851.173,0.00514044,0.169589
window 32,-0.0167843,852.631,0.00514044,0.169589
window 33,0.0444703,851.811,0.00514044,0.169589
window 34,0.00354639,851.173,0.00514044,0.169589
window 35,0.0973176,849.742,0.00514044,0.169589
window 36,-0.0959057,858.099,0.00514044,0.169589
window 37,-0.0209151,1453.61,0.000966793,0.18385
window 38,0.0806308,1445.02,0.000966793,0.18385
window 39,-0.00806976,1457.61,0.000966793,0.18385
window 40,0.0152676,1140.06,0.00574342,0.14968
window 41,-0.0332917,1914.96,0.00485338,0.151121
window 42,0.0507098,1532.99,0.000884378,0.174457
window 43,-0.0220662,1597.08,0.00144565,0.154363
window 44,-0.0809638,1620.81,0.00204029,0.160042
window 45,0.0924963,1738.46,0.00333474,0.219612
window 46,0.0511054,1747.28,0.00333474,0.219612
window 47,-0.044694,1755.63,0.00333474,0.219612
window 48,-0.00259758,2341.13,0.000276662,0.189648
window 49,-0.00880609,2346.52,0.000276662,0.189648
window 50,0.0480578,2391.71,0.00194733,0.180933
window 51,0.0130635,2394.96,0.00194733,0.180933
window 52,-0.0167065,2389.64,0.00194733,0.180933
window 53,0.00958838,2384.52,0.00194733,0.180933
window 54,0.00284541,2384.18,0.00194733,0.180933
window 55,-0.0420008,2378.99,0.00194733,0.180933
window 56,-0.0607717,2597.2,0.00188004,0.139553
window 57,-0.0206721,1489.51,0.00263239,0.224195
window 58,0.0306286,1483.3,0.00263239,0.224195
window 59,0.0633856,1489.13,0.00263239,0.224195
window 60,0.020115,1497.21,0.00263239,0.224195
window 61,0.0401051,1496.56,0.00263239,0.224195
window 62,0.0435464,1502.32,0.00263239,0.224195
